id,firstName,lastName,team_name,market_value,agent,agent_id,contract_expiry
743075,Kervin Mario,Andrade Navarro,Maccabi Tel Aviv, ¬1.50m,Websoccer do Brasil ...,9908,31-Dec-28
547486,Fábio,Silva de Freitas,Red Bull Bragantino, ¬5.00m,Websoccer do Brasil ...,9908,31-Dec-29
661922,Robert Renan,Alves Barbosa,Vasco da Gama, ¬7.50m,Elenko Sports Ltda.,3557,30-Jun-25
625210,Matteo Johannes,Beltoft Grosso,,-,,,-
1216170,Amadou,Diakité,Troyes,-,KDS FM,8605,-
1217029,Liam George,Tongue,Stalybridge Celtic,-,,,-
1252035,Safouane ,Benzahra,Monaco  U19,-,,,-
1194263,Muhammad,Taha,Hapoel Nof HaGalil,-,,,-
640885,Daniil Yuriyovych ,Denisenko,Kolos Kovalivka U19,-,FAMK Group,3736,30-Jun-27
868224,Michael Yesi,Barragan García,Fortaleza,-,,,-
918546,Tijan,Laki,Interblock,-,,,-
1051190,Jed,Zanos,Caboolture,-,,,-
1218457,Arda ,Türken,Sakaryaspor,-,Nergal Limited,13335,30-Jun-26
1268416,Reece,Lyttle,,-,,,31-May-25
924398,Mateusz,Bartkowiak,PogoD Szczecin II,-,,,-
1213666,Almos,Bandi,Târgu Secuiesc,-,,,-
1214190,Ionu ,Bînta,Dunrea Turris,-,,,-
1210986,Dzan,Tiric,Lauterach,-,,,-
1076036,Aymen,Zouin,Internazionale U19,-,,,-
1239004,Manuel ,Dimitri,Imperia,-,,,-
1114827,David ,Menargues,,-,Kaizen Agency,8255,-
1006304,Federico,Carminati,Lecco U19,-,,,-
1007398,Lorenzo,De Santis,,-,,,-
1188615,Sefa,Gülay,Adana Demirspor,-,,,-
913440,Andrea,Collaro,Afragolese,-,,,30-Jun-25
913349,Giuseppe,Federico,Catanzaro U19,-,,,-
1013056,Antonio,Lubrano,Cremonese U20,-,,,-
1166402,Sang-Hyeok,Cho,Pohang Steelers, ¬175k,,,-
41893,Omar Constante,Reis Santos,Novo Hamburgo,-,no agent,,-
144413,Manoel Segundo,Jardim Júnior,,-,,,-
1160103,Diego Faria,Manhães da Conceição,Corumbaense,-,,,-
495986,Marcos Vinicius,Lima,,-,IFA - Int. Football ...,9524,-
1160982,Alysson,Paixao,Tuen Mun FC,-,,,-
919419,Ronalbson de Souza ,dos Santos,Cametá,-,,,-
1032137,Mattias Ezequiel,Parris González,Sportivo San Lorenzo,-,,,-
690325,Lucas Batista,Gomes de Melo Araújo,Rio Claro,-,,,-
713733,Matheus,Lopes Brandt,,-,,,-
1163247,Matías Vicente,Castro España,Everton,-,,,-
1163877,Josué Aaron,Canova Silva,Juan Pablo II College, ¬125k,,,31-Dec-25
1159057,Joan Malea,Ordóñez,City Escaldes,-,,,-
886556,José,Ferreira de Sousa Neto,,-,,,30-Jan-27
1076789,Wine,Lu,Hantharwady United, ¬50k,,,-
1150736,Elio Francisco ,Velasquez Barriosncisco,San Pedro, ¬50k,,,-
956336,Arthur Araujo,Medeiros do Nascimento,Bahia U20,-,,,-
1175569,Vytis ,Pavilonis,}algiris,-,,,31-Dec-25
1177046,Demba Tidiane,Dia,Dives,-,,,-
1165663,Keylan,Ali Abdallah,,-,,,-
1160380,Moritz,Gaugger,Union Vöcklamarkt,-,,,-
835781,Sverrir Thór ,Kristinsson,Valur,-,,,31-Dec-25
1165442,Yudai,Shimamoto,Shimizu S-Pulse, ¬150k,JAPAN SPORTS ...,3710,30-Jun-28
1166074,Owen,Cuddihy,Barry Town United, ¬75k,,,31-May-26
1165647,Aymane,Nassiri,Istres,-,Ali M'GOMRI,14181,-
1157277,James ,Heaney ,Glenavon,-,,,31-May-26
1180647,Felix ,Felder Aaltonen,Assyriska,-,,,-
639595,Jacob Hjorth,Søndergaard,Angri,-,,,-
873922,Yaghoob,Barajeh,Persepolis, ¬250k,Aron Sports,7094,30-Jun-28
1170312,Selemani,Mwalimu,Simba, ¬50k,Sky Agency Sports,10967,30-Jun-29
1180696,Viggo,Lidberg,Elfsborg U19,-,JS Management AB,1075,-
1113381,Giannis,Tsifoutis,PAOK B,-,Agent is known - Player under 18,,-
1256260,Leo,Dahlborn,Huddinge,-,,,-
1165521,Geun-hyeong ,Lee,Kawasaki Frontale,-,,,30-Jun-28
1158284,Ollie,Taylor,St Ives Town,-,,,-
1135492,Zemoura,Yohan,Versailles,-,,,30-Jun-25
965154,Htet, Lin Soe,,-,,,-
1287283,Tom,Clémence,Pontivy GSI,-,,,-
1246154,Ivan ,Filipovic,Dugo Selo,-,,,-
1168964,Predrag,Popadic,Dinamo,-,,,31-Dec-25
1163716,Miles Edward,Milliner,Sydney FC II,-,,,-
814535,Adam,Darazi,Ittihad Tanger, ¬10k,CABINET OLYMPI.NET,6888,-
1176823,Vicente,Valenzuela,Estudiantes de San Luis,-,,,-
1168375,Maguette,Samb,Thonon Évian,-,,,-
1207773,Gaoussou,Dabo,Bayern Alzenau, ¬25k,fair-sport GmbH,141,30-Jun-27
1157336,John ,Butcher,Limavady United,-,,,31-May-25
1074734,Alexander,Velazquez,Danubio,-,,,-
608796,Lucas,Delforge,Arras,-,,,-
405336,Scott,McCrory-Irving,Broxburn Athletic,-,,,31-May-25
1141944,Daniel ,Ripatti,KäPa, ¬25k,,,31-Dec-25
1164946,Obinna,Okoronkwo,El Gounah,-,,,30-Jun-26
1191141,Bonginkosi,Dlamini,Polokwane City, ¬200k,,,-
1138947,Francesco,Matjani,Union Berlin U17,-,Agent is known - Player under 18,,30-Jun-27
1184421,Thato Reabetswe,Letshedi,Polokwane City, ¬150k,,,-
1161018,Klevi,Ajazi,Laçi,-,,,-
1167177,Yutaka ,Takeuchi,Kataller Toyama,-,,,30-Jun-27
